"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"FIAT", "PUNTO", "LJT218T", "ZFA18800004260022", "NAVADEN - RDEČA", "25.04.2006"
"VOLKSWAGEN", "PASSAT", "", "WVWZZZ3BZWP265273", "KOVINSKI - SIVA", "25.04.2006"
"SCHMITZ", "", "679ELJ", "P 2529197", "NAVADEN - BELA", "25.04.2006"
"MOTO TM", "", "000000000000", "MOTO-000641-E", "NAVADEN - RDEČA", "25.04.2006"
"HONDA", "CIVIC", "MBD8903", "JHMED35200S300077", "NAVADEN - SIVA", "25.04.2006"
"HONDA", "CIVIC", "MBD8903", "JHMED35200S300077", "NAVADEN - SIVA", "25.04.2006"
"AUDI", "A 6", "", "WAUZZZ4BZWN143288", "KOVINSKI - SIVA", "25.04.2006"
"HONDA", "CIVIC", "MBD8903", "JHMED35200S300077", "NAVADEN - SIVA", "25.04.2006"
"KIA", "PRIDE", "", "KNEDA2322WK090295", "", "25.04.2006"
"TOMOS", "", "NEREG", "4711176", "NAVADEN - RDEČA", "25.04.2006"
"SCANIA VABIS", "", "RU56051", "XLER4X20005104323", "NAVADEN - BELA", "24.04.2006"
"AUDI", "A 6", "CEU5922", "WAUZZZ4B73N083881", "KOVINSKI - SIVA", "24.04.2006"
"RENAULT", "MEGANE", "KP3343V", "VF1KMSE0635641304", "KOVINSKI - SIVA", "24.04.2006"
"RENAULT", "MEGANE", "LJ567NS", "VF1BA0F0D14758101", "NAVADEN - RDEČA", "24.04.2006"
"AUDI", "A 4", "LJV489N", "WAUZZZ8E52A095764", "KOVINSKI - SIVA", "24.04.2006"
"AUDI", "100", "LJ245RH", "WAUZZZ4AZPN004701", "NAVADEN - RDEČA", "24.04.2006"
"TOMOS", "A 35-1A", "KPT1503", "788287", "NAVADEN - BELA", "22.04.2006"
"AUDI", "A 4", "LJL578Y", "WAUZZZ8E94A010119", "KOVINSKI - ČRNA", "21.04.2006"
"M.A.N.", "VSI TIPI", "KKE3584", "WMAT32ZZZYM285321", "NAVADEN - RDEČA", "21.04.2006"
"KOTSCHENREUTHER", "", "F415KK", "W09SPC324XPK27003", "NAVADEN - MODRA", "21.04.2006"
"MALAGUTI", "PHANTOM F 12", "GOE2212", "41085146", "", "21.04.2006"
"RENAULT", "CLIO", "LJP880R", "VF1CBR7EF31438589", "KOVINSKI - SIVA", "20.04.2006"
"RENAULT", "R4", "CES9984", "VF1112800E0902441", "NAVADEN - RJAVA", "20.04.2006"
"RENAULT", "MEGANE", "LJY543K", "VF1BMRG0631919750", "KOVINSKI - SIVA", "20.04.2006"
"TPV", "", "NI", "ZY2000AB6S3020423", "", "19.04.2006"
"TPV", "VSI TIPI", "LJK695P", "ZY2000A65301852", "", "19.04.2006"
"VOLKSWAGEN", "PASSAT", "LJF226K", "WVWZZZ3BZWE115031", "KOVINSKI - SIVA", "18.04.2006"
"PEUGEOT", "SPEEDFIGHT", "", "VGAS1B0KB0013681", "NAVADEN - RDEČA", "18.04.2006"
"TOMOS", "ATX 50", "KRJ1609", "403412", "NAVADEN - BELA", "18.04.2006"
"VOLKSWAGEN", "GOLF", "LJX572X", "WVWZZZ1JZYB074254", "NAVADEN - ČRNA", "18.04.2006"
"AUDI", "A 4", "LJ264EM", "WAUZZZ8E24A082733", "KOVINSKI - SIVA", "18.04.2006"
"RENAULT", "CLIO", "KRF3082", "VF1BB0A0F19662183", "KOVINSKI - SIVA", "18.04.2006"
"TOMOS", "A 25-BBA", "LJK6446", "ZZ1A25BBA00201091", "KOVINSKI - MODRA", "18.04.2006"
"SEAT", "IBIZA", "MBK117A", "VSS021A000D177652", "NAVADEN - RDEČA", "18.04.2006"
"TOMOS", "APN 4 S", "KPA1694", "168580", "NAVADEN - MODRA", "16.04.2006"
"ADRIA CARAVAN", "VSI TIPI", "C491SG", "VY14252TDL0001328", "NAVADEN - SIVA", "14.04.2006"
"KAWASAKI", "90", "", "069010-KX080V", "NAVADEN - ZELENA", "14.04.2006"
"APRILIA", "SR 50", "", "ZD4RLA10YS1134342", "NAVADEN - ČRNA", "14.04.2006"
"MALAGUTI", "PHANTOM F 12", "KPP1190", "ZJM47000047028727", "KOVINSKI - MODRA", "14.04.2006"
"RENAULT", "MEGANE", "LJD0176", "VF1LMR2C531935304", "KOVINSKI - ZELENA", "13.04.2006"
"VOLKSWAGEN", "PASSAT", "LJY2860", "WVWZZZ3BZ2E194640", "KOVINSKI - SIVA", "12.04.2006"
"TOMOS", "APN 6", "CEU3885", "478091", "NAVADEN - RDEČA", "12.04.2006"
"AUDI", "A 4", "LJ4856Z", "WAUZZZ8DZXA263721", "KOVINSKI - SIVA", "11.04.2006"
"KIA", "CARNIVAL", "LJY045V", "KNEUP7522X6102551", "KOVINSKI - SIVA", "11.04.2006"
"VOLKSWAGEN", "GOLF", "LJ322MG", "WVWZZZ1KZ5P107218", "KOVINSKI - SIVA", "11.04.2006"
"RENAULT", "CLIO", "CEN1455", "VF1BB07CF28615823", "KOVINSKI - SIVA", "11.04.2006"
"VOLKSWAGEN", "GOLF", "LJ124EE", "WVWZZZ1KZ6W109948", "KOVINSKI - ČRNA", "11.04.2006"
